Time,Error,Angle
91926,5.11875,9.726404
92027,4.577344,10.616
92127,4.774219,11.57799
92228,5.11875,12.61822
92328,4.035937,13.37647
92430,1.96875,13.67268
92531,1.771875,14.0109
92633,0.196875,13.97749
92735,-0.2460938,13.90286
92837,-1.082813,13.64641
92939,-2.116406,13.17324
93042,-2.75625,12.58958
93145,-4.282031,11.6621
93248,-5.709375,10.4508
93351,-7.235156,8.93004
93453,-7.973438,7.296796
93556,-8.71172,5.518418
93656,-5.660156,4.525062
93756,-7.136719,3.039011
93857,-7.776563,1.450048
93955,-9.154688,-0.4478168
94054,-9.991405,-2.490192
94152,-9.84375,-4.455286
94249,-9.548437,-6.35049
94345,-10.18828,-8.41753
94441,-10.33594,-10.49407
94537,-10.58203,-12.62303
94632,-9.400782,-14.44623
94725,-8.760937,-16.16224
94819,-8.219532,-17.77678
94915,-8.760937,-19.55275
95009,-8.268749,-21.18422
95104,-6.496875,-22.39667
95200,-5.315625,-23.39633
95297,-5.610937,-24.52786
95394,-5.020312,-25.5045
95492,-4.921875,-26.48217
95590,-6.890625,-27.95269
95687,-7.0875,-29.38657
95784,-7.825781,-30.98814
95881,-8.416407,-32.70203
95978,-6.989062,-34.03354
96076,-8.465626,-35.79136
96173,-8.908594,-37.59909
96270,-9.05625,-39.41926
96367,-7.382813,-40.81602
96464,-5.857031,-41.90943
96562,-6.201563,-43.16024
96660,-4.035937,-43.86697
96759,-4.282031,-44.72741
96859,-3.494531,-45.39014
96959,-4.33125,-46.29248
